"voteshare","margin"
0.580962,0.10486948
0.46105853,0.1392521
0.54341078,-0.073601931
0.58458012,0.086821526
0.58028644,0.39935827
0.6243524,0.16807723
0.487293,0.25156257
0.57096452,0.26750273
0.59550136,0.15275466
0.6304118,0.20239127
0.74188519,0.2378197
0.77244276,0.48799968
0.71402943,0.54488552
0.73545104,0.48580521
0.5805223,0.48599952
0.49177942,0.032944798
0.40950862,-0.013780028
0.53289098,-0.18098274
0.49878392,0.065781981
0.56211752,0.26531625
0.54053378,0.13008046
0.46743682,0.087058067
0.65068132,0.19812366
0.69922239,0.30983108
0.53374416,0.39844477
0.67384547,0.091963708
0.63618165,0.34769091
0.59705013,0.27236331
0.51590836,0.00011286139
0.61008817,0.066486865
0.51919293,0.0067006648
0.40000379,-0.053275347
0.56222558,-0.19999242
0.54910547,0.12445116
0.53109241,0.27793229
0.53998482,0.11607867
0.54564059,0.11542991
0.54631823,0.33698779
0.5813486,0.11188874
0.46460351,0.18111685
0.69645667,0.054073513
0.66492832,0.39291331
0.5210433,0.32985666
0.71349216,0.26898006
0.71319652,0.43275195
0.42054099,-0.11762807
0.31127363,-0.14833525
0.5090555,-0.37233794
0.47956795,0.01811102
0.50957704,0.036212653
0.4732815,0.019154072
0.42627329,-0.04079181
0.37057862,-0.080035865
0.41636324,-0.23953667
0.37422901,-0.16727352
0.46459007,-0.40787899
0.2706714,-0.070819855
0.23437704,-0.44710717
0.37628898,-0.50641227
0.29873765,-0.22828087
0.45655078,-0.036621153
0.38074493,-0.055007577
0.53797877,-0.23851013
0.55099392,0.075957537
0.59062815,0.34604469
0.56315076,0.18125629
0.54745096,0.12630153
0.32749301,-0.024358571
0.52319092,-0.33763027
0.50365347,0.046381831
0.39109451,-0.088403821
0.2636131,-0.21781099
0.47247568,-0.47277379
0.52049458,-0.06672886
0.49882603,0.06132105
0.47679743,0.17493629
0.37712282,-0.012190819
0.51069915,-0.24575436
0.56619465,0.27301988
0.64197826,0.13660282
0.58958066,0.28395656
0.35824534,-0.2796621
0.33270577,-0.28350928
0.25629699,-0.33013913
0.48926482,-0.32379082
0.39592975,-0.0069679916
0.48553145,-0.004506737
0.38549641,-0.020095199
0.56037766,-0.22900721
0.53975314,0.12075531
0.54174984,0.24996674
0.51973766,0.10040932
0.49746564,0.048967648
0.50377983,-0.0010651052
0.56623095,0.051541686
0.59161842,0.13246194
0.42623448,-0.0036169291
0.35803241,-0.14753103
0.3151485,-0.25672698
0.53158361,-0.27041221
0.63217527,0.094181508
0.60196656,0.26435053
0.55315363,-0.037850857
0.60327291,0.10630727
0.56762111,0.24008295
0.55705869,0.13524222
0.64209318,0.11411735
0.19654106,-0.42738581
0.40853113,-0.57455575
0.21490784,-0.099678099
0.22670284,-0.53129596
0.33790359,-0.54659426
0.48971498,-0.32419279
0.71935195,0.049454004
0.76196086,0.47124714
0.31093279,-0.14357042
0.35986382,-0.1116617
0.44239929,-0.27607501
0.31180677,-0.1106061
0,-1
0,-1
0,-1
0.36222914,-0.42279306
0,-0.27554175
0.25114423,-1
0.22199708,-0.45859078
0.82728189,-0.55600584
0.22438374,0.65456378
0.52740651,1
0.71718711,0.054813027
0.5464462,0.097341686
0.61221558,0.1927211
1,0.22443116
1,1
1,1
0.73646116,1
1,0.47292235
0.7236079,1
0.72835618,0.49984655
