"store_id","post","emp","price","nj"
6,0,5,4.72,1
14,0,16,4.4,1
26,0,41.5,2.95,1
27,0,13,4.25,1
30,0,10,4.65,1
31,0,15,4.65,1
33,0,26,3.04,1
36,0,18,4.5,1
77,0,35,3.42,1
78,0,21,3.16,1
81,0,34.5,3.1,1
82,0,18.25,3.15,1
85,0,20,3.16,1
89,0,16,3.08,1
94,0,17.5,4.42,1
112,0,20,3.1,1
128,0,12.25,4.25,1
129,0,33,2.84,1
131,0,31.5,3.18,1
144,0,28,2.82,1
145,0,16.5,2.96,1
147,0,14.75,2.96,1
148,0,23.5,2.96,1
151,0,10,2.94,1
152,0,46.5,3.14,1
157,0,15.5,4.1,1
161,0,24.5,3.2,1
163,0,24,3.33,1
164,0,23,3.2,1
165,0,28,3.01,1
169,0,32.5,3.08,1
170,0,23,3.2,1
187,0,17,3.27,1
190,0,30,3.15,1
196,0,21.5,2.86,1
197,0,32,2.77,1
234,0,8,NA,1
240,0,35.5,3.26,1
242,0,33,3.18,1
245,0,22,3.24,1
259,0,23,2.72,1
268,0,23,2.72,1
271,0,8.5,4.15,1
272,0,12.5,4.03,1
274,0,9.5,3.99,1
276,0,13,3.88,1
296,0,17,3.02,1
299,0,9,4.25,1
301,0,19,4.25,1
320,0,11.5,4.37,1
321,0,13,4.42,1
324,0,48,NA,1
326,0,45.5,NA,1
330,0,15,2.82,1
334,0,18,2.73,1
349,0,21,2.98,1
354,0,20.5,2.76,1
356,0,20.5,2.81,1
357,0,17.5,2.76,1
371,0,27.5,3.03,1
373,0,24,2.99,1
375,0,34,NA,1
378,0,18,3.16,1
381,0,24,3.54,1
406,0,33.5,NA,1
407,0,12,3.72,1
409,0,35,3.01,1
3,0,15.5,5.1,1
10,0,29,2.74,1
11,0,29,2.89,1
18,0,30.5,NA,1
19,0,23.5,2.89,1
38,0,30,2.98,1
66,0,27,2.96,1
68,0,38,3.11,1
69,0,16.5,3.07,1
73,0,6.5,4.57,1
75,0,13.5,5.21,1
