"union","school","black","married","wage"
0,14,0,0,3.31196015051071
1,14,0,0,6.37931034487957
0,14,0,0,3.83612091446234
0,14,0,0,4.19214835281524
0,14,0,0,4.79764455661117
0,14,0,0,5.4733504454293
0,14,0,0,0.486624463277991
0,14,0,0,5.30785562611532
0,13,0,0,5.34393570172968
0,13,0,0,4.56490727553448
0,13,0,0,4.75497043018603
0,13,0,0,5.61482313314699
0,13,0,0,5.06331962468286
0,13,0,0,4.99575360953428
0,13,0,0,4.81812772353559
0,13,0,0,6.17391930708841
0,12,0,1,4.55380318473791
0,12,0,1,5.67107750477156
0,12,0,1,5.11278195463977
0,12,0,1,7.37598026808833
0,12,0,1,8.8818886446667
0,12,0,1,9.64714714692496
0,12,0,1,7.92437878547424
0,12,0,1,17.6928520883615
1,12,0,0,6.64666337480224
1,12,0,0,4.35428005953906
0,12,0,0,4.36447318811534
0,12,0,0,5.70255474439732
0,12,0,0,6.19172494144811
0,12,0,0,6.74143531297523
0,12,0,0,5.71130396873845
0,12,0,1,8.46287470462173
1,12,0,0,7.02008168844049
0,12,0,0,7.1153846156917
0,12,0,0,7.12277092874272
0,12,0,0,9.04774569764633
0,12,0,1,8.45665961936495
0,12,0,1,8.37978971161689
0,12,0,1,7.32297503828672
0,12,0,1,8.26800587921548
0,10,0,0,1.29505719836796
0,10,0,0,3.74331550806325
0,10,0,0,4.31494805877891
0,10,0,0,3.74449559157547
0,10,0,0,5.49394488791271
0,10,0,0,4.24526059087496
0,10,0,0,6.08827079381273
0,10,0,0,8.56873554000247
0,13,0,0,5.68189889066421
0,13,0,0,7.31261425974372
0,13,0,0,8.93447006646798
0,13,0,0,6.3946596791092
0,13,0,0,6.8376068378108
0,13,0,1,7.85400785435094
0,13,0,1,5.9429261118266
0,13,0,1,11.1862078534783
0,12,0,0,3.34924618361567
0,12,0,0,3.30038676394379
0,12,0,0,3.22341246940379
0,12,0,0,2.99805725880793
0,12,0,0,2.15074907513615
0,12,0,0,3.06187042430465
0,12,0,0,3.06291390716974
1,12,0,0,2.29666829992462
1,11,0,0,1.65279889694935
0,11,0,0,2.90058479525705
0,11,0,0,3.28543132011402
0,11,0,0,4.66407033435836
0,11,0,0,4.94455039891291
0,11,0,0,5.68209891804902
0,11,0,0,7.30424620159172
0,11,0,0,8.65968574491618
1,10,0,0,2.73271058667319
1,10,0,0,2.55406797124624
1,10,0,0,3.92547634164739
1,10,0,0,3.96699460475596
1,10,0,0,3.22258386784228
0,10,0,0,5.63063063049512
0,10,0,1,5.52821373504567
0,10,0,1,6.36665863904057
0,14,0,0,3.09734513283282
0,14,0,0,2.30769230769088
0,14,0,0,4.3377674954839
0,14,0,0,2.91970802925589
0,14,0,0,4.24575424574048
0,14,0,0,5.39307836919111
0,14,0,0,5.39879067113546
0,14,0,0,5.78420164383942
0,14,0,0,4.78598519076925
0,14,0,0,12.1081081084621
0,14,0,0,6.18831028207635
0,14,0,0,10.8085345308783
0,14,0,0,9.18092989725883
0,14,0,1,9.69908388496333
0,14,0,1,10.5254773441139
0,14,0,1,11.3526367996983
0,11,0,0,6.80735194007961
0,11,0,0,2.14987080105202
0,11,0,0,7.22961249271904
0,11,0,0,7.01852891633401
0,11,0,0,7.66777082543526
0,11,0,0,6.70313170334054
0,11,0,0,7.18937079157018
0,11,0,0,8.90828916287062
0,11,0,0,5.95643294771572
0,11,0,0,8.84615384613869
1,11,0,0,7.12682179359047
0,11,0,0,7.72863890086248
0,11,0,0,7.48470279697274
0,11,0,0,8.14159203592672
0,11,0,1,8.53321461059735
1,11,0,1,9.40540351369406
0,15,0,0,7.48808713405519
0,15,0,0,7.11462450623666
